episode:0 	| reward:-169.99 	| took:181.88s 	| avrege:-169.99)
episode:1 	| reward:-182.84 	| took:188.73s 	| avrege:-176.41)
episode:2 	| reward:-252.36 	| took:186.34s 	| avrege:-201.73)
episode:3 	| reward:-234.13 	| took:195.94s 	| avrege:-209.83)
episode:4 	| reward:-231.52 	| took:194.83s 	| avrege:-214.17)
episode:5 	| reward:-248.19 	| took:192.30s 	| avrege:-219.84)
episode:6 	| reward:-149.49 	| took:194.28s 	| avrege:-209.79)
episode:7 	| reward:-362.16 	| took:199.62s 	| avrege:-228.83)
episode:8 	| reward:-307.64 	| took:186.39s 	| avrege:-237.59)
episode:9 	| reward:-319.67 	| took:192.10s 	| avrege:-245.80)
episode:10 	| reward:-212.37 	| took:181.56s 	| avrege:-242.76)
episode:11 	| reward:-292.01 	| took:183.15s 	| avrege:-246.86)
episode:12 	| reward:-149.69 	| took:180.79s 	| avrege:-239.39)
episode:13 	| reward:-254.69 	| took:180.49s 	| avrege:-240.48)
episode:14 	| reward:-311.37 	| took:182.79s 	| avrege:-245.21)
episode:15 	| reward:-172.61 	| took:184.96s 	| avrege:-240.67)
episode:16 	| reward:-259.26 	| took:183.01s 	| avrege:-241.76)
episode:17 	| reward:-202.22 	| took:181.39s 	| avrege:-239.57)
episode:18 	| reward:-236.32 	| took:180.87s 	| avrege:-239.40)
episode:19 	| reward:-308.65 	| took:181.49s 	| avrege:-242.86)
episode:20 	| reward:-191.71 	| took:180.29s 	| avrege:-240.42)
episode:21 	| reward:-205.31 	| took:181.42s 	| avrege:-238.83)
episode:22 	| reward:-300.65 	| took:182.50s 	| avrege:-241.52)
episode:23 	| reward:-235.12 	| took:180.92s 	| avrege:-241.25)
episode:24 	| reward:-300.25 	| took:183.95s 	| avrege:-243.61)
episode:25 	| reward:-196.55 	| took:183.04s 	| avrege:-241.80)
episode:26 	| reward:-272.95 	| took:183.05s 	| avrege:-242.95)
