episode:0 	| reward:-9.50 	| took:105.57s 	| avrege:-9.50)
episode:1 	| reward:-16.19 	| took:116.10s 	| avrege:-12.85)
episode:2 	| reward:-8.69 	| took:122.64s 	| avrege:-11.46)
episode:3 	| reward:-18.75 	| took:121.63s 	| avrege:-13.28)
episode:4 	| reward:-12.16 	| took:120.77s 	| avrege:-13.06)
episode:5 	| reward:-14.34 	| took:121.05s 	| avrege:-13.27)
episode:6 	| reward:-16.86 	| took:121.72s 	| avrege:-13.79)
episode:7 	| reward:-18.61 	| took:121.17s 	| avrege:-14.39)
episode:8 	| reward:-12.19 	| took:120.87s 	| avrege:-14.14)
episode:9 	| reward:-9.19 	| took:121.79s 	| avrege:-13.65)
episode:10 	| reward:-15.61 	| took:121.98s 	| avrege:-13.83)
episode:11 	| reward:-15.44 	| took:121.33s 	| avrege:-13.96)
episode:12 	| reward:-13.14 	| took:121.31s 	| avrege:-13.90)
episode:13 	| reward:-16.25 	| took:121.96s 	| avrege:-14.07)
episode:14 	| reward:-14.37 	| took:121.62s 	| avrege:-14.09)
episode:15 	| reward:-13.67 	| took:121.84s 	| avrege:-14.06)
episode:16 	| reward:-17.35 	| took:122.10s 	| avrege:-14.25)
episode:17 	| reward:-21.64 	| took:122.48s 	| avrege:-14.66)
episode:18 	| reward:-14.13 	| took:121.92s 	| avrege:-14.64)
episode:19 	| reward:-8.43 	| took:121.71s 	| avrege:-14.33)
episode:20 	| reward:-10.42 	| took:122.52s 	| avrege:-14.14)
episode:21 	| reward:-15.84 	| took:122.27s 	| avrege:-14.22)
episode:22 	| reward:-12.88 	| took:122.10s 	| avrege:-14.16)
episode:23 	| reward:-13.45 	| took:122.04s 	| avrege:-14.13)
episode:24 	| reward:-15.65 	| took:122.51s 	| avrege:-14.19)
episode:25 	| reward:-12.28 	| took:122.32s 	| avrege:-14.12)
episode:26 	| reward:-21.00 	| took:123.31s 	| avrege:-14.37)
episode:27 	| reward:-15.65 	| took:122.56s 	| avrege:-14.42)
episode:28 	| reward:-18.49 	| took:122.99s 	| avrege:-14.56)
episode:29 	| reward:-13.54 	| took:122.60s 	| avrege:-14.52)
episode:30 	| reward:-12.79 	| took:122.93s 	| avrege:-14.47)
episode:31 	| reward:-15.14 	| took:123.04s 	| avrege:-14.49)
episode:32 	| reward:-12.49 	| took:122.79s 	| avrege:-14.43)
episode:33 	| reward:-13.22 	| took:121.82s 	| avrege:-14.39)
episode:34 	| reward:-12.28 	| took:122.46s 	| avrege:-14.33)
episode:35 	| reward:-12.68 	| took:124.11s 	| avrege:-14.29)
episode:36 	| reward:-24.85 	| took:122.75s 	| avrege:-14.57)
episode:37 	| reward:-23.38 	| took:123.49s 	| avrege:-14.80)
episode:38 	| reward:-17.44 	| took:123.63s 	| avrege:-14.87)
episode:39 	| reward:-19.04 	| took:123.33s 	| avrege:-14.98)
episode:40 	| reward:-18.40 	| took:125.35s 	| avrege:-15.06)
episode:41 	| reward:-21.41 	| took:124.60s 	| avrege:-15.21)
episode:42 	| reward:-12.16 	| took:123.48s 	| avrege:-15.14)
episode:43 	| reward:-11.34 	| took:124.74s 	| avrege:-15.05)
episode:44 	| reward:-11.30 	| took:124.39s 	| avrege:-14.97)
episode:45 	| reward:-20.78 	| took:125.39s 	| avrege:-15.10)
episode:46 	| reward:-20.88 	| took:125.62s 	| avrege:-15.22)
episode:47 	| reward:-21.93 	| took:124.83s 	| avrege:-15.36)
episode:48 	| reward:-15.66 	| took:124.96s 	| avrege:-15.36)
episode:49 	| reward:-19.28 	| took:125.89s 	| avrege:-15.44)
episode:50 	| reward:-7.39 	| took:125.43s 	| avrege:-15.29)
episode:51 	| reward:-8.92 	| took:125.18s 	| avrege:-15.16)
episode:52 	| reward:-6.99 	| took:125.08s 	| avrege:-15.01)
episode:53 	| reward:-17.12 	| took:126.47s 	| avrege:-15.05)
episode:54 	| reward:-18.25 	| took:126.38s 	| avrege:-15.11)
episode:55 	| reward:-8.10 	| took:126.07s 	| avrege:-14.98)
episode:56 	| reward:-14.22 	| took:125.79s 	| avrege:-14.97)
episode:57 	| reward:-22.16 	| took:126.46s 	| avrege:-15.09)
episode:58 	| reward:-15.69 	| took:125.58s 	| avrege:-15.10)
episode:59 	| reward:-13.29 	| took:126.42s 	| avrege:-15.07)
episode:60 	| reward:-16.51 	| took:125.63s 	| avrege:-15.09)
episode:61 	| reward:-13.72 	| took:126.18s 	| avrege:-15.07)
episode:62 	| reward:-11.69 	| took:125.62s 	| avrege:-15.02)
