episode:0 	| reward:53.74 	| took:0.45s 	| avrege:53.74 	| loss:(actor:-11.74, critic:4.91)
episode:1 	| reward:53.74 	| took:0.44s 	| avrege:53.74 	| loss:(actor:-10.35, critic:0.49)
episode:2 	| reward:53.74 	| took:0.44s 	| avrege:53.74 	| loss:(actor:-10.33, critic:2.14)
episode:3 	| reward:53.74 	| took:0.43s 	| avrege:53.74 	| loss:(actor:-10.28, critic:1.17)
episode:4 	| reward:53.74 	| took:0.43s 	| avrege:53.74 	| loss:(actor:-10.49, critic:0.51)
episode:5 	| reward:53.74 	| took:0.44s 	| avrege:53.74 	| loss:(actor:-10.12, critic:0.49)
episode:6 	| reward:53.74 	| took:0.44s 	| avrege:53.74 	| loss:(actor:-10.05, critic:1.12)
episode:7 	| reward:54.16 	| took:0.42s 	| avrege:53.79 	| loss:(actor:-10.00, critic:0.38)
episode:8 	| reward:54.05 	| took:0.45s 	| avrege:53.82 	| loss:(actor:-10.26, critic:0.39)
episode:9 	| reward:53.74 	| took:0.44s 	| avrege:53.81 	| loss:(actor:-10.21, critic:0.12)
episode:10 	| reward:53.74 	| took:0.43s 	| avrege:53.81 	| loss:(actor:-10.04, critic:0.14)
episode:11 	| reward:53.74 	| took:0.48s 	| avrege:53.80 	| loss:(actor:-10.13, critic:0.23)
episode:12 	| reward:53.74 	| took:0.44s 	| avrege:53.80 	| loss:(actor:-10.13, critic:1.01)
episode:13 	| reward:53.74 	| took:0.43s 	| avrege:53.79 	| loss:(actor:-10.36, critic:0.16)
episode:14 	| reward:53.74 	| took:0.42s 	| avrege:53.79 	| loss:(actor:-10.15, critic:0.95)
episode:15 	| reward:53.74 	| took:0.53s 	| avrege:53.79 	| loss:(actor:-10.57, critic:0.07)
episode:16 	| reward:53.74 	| took:0.42s 	| avrege:53.78 	| loss:(actor:-10.71, critic:0.07)
episode:17 	| reward:53.74 	| took:0.44s 	| avrege:53.78 	| loss:(actor:-10.60, critic:0.07)
episode:18 	| reward:53.74 	| took:0.42s 	| avrege:53.78 	| loss:(actor:-10.53, critic:0.84)
episode:19 	| reward:48.73 	| took:0.39s 	| avrege:53.53 	| loss:(actor:-10.50, critic:0.15)
episode:20 	| reward:43.55 	| took:0.36s 	| avrege:53.05 	| loss:(actor:-10.44, critic:0.86)
episode:21 	| reward:53.74 	| took:0.43s 	| avrege:53.08 	| loss:(actor:-10.43, critic:1.25)
episode:22 	| reward:53.74 	| took:0.43s 	| avrege:53.11 	| loss:(actor:-10.70, critic:1.59)
episode:23 	| reward:53.74 	| took:0.46s 	| avrege:53.14 	| loss:(actor:-10.59, critic:1.78)
episode:24 	| reward:53.74 	| took:0.44s 	| avrege:53.16 	| loss:(actor:-10.87, critic:1.62)
episode:25 	| reward:53.74 	| took:0.56s 	| avrege:53.18 	| loss:(actor:-10.72, critic:0.21)
episode:26 	| reward:53.74 	| took:0.54s 	| avrege:53.20 	| loss:(actor:-10.65, critic:0.16)
episode:27 	| reward:53.74 	| took:0.49s 	| avrege:53.22 	| loss:(actor:-11.10, critic:0.05)
episode:28 	| reward:53.74 	| took:0.49s 	| avrege:53.24 	| loss:(actor:-10.75, critic:0.28)
episode:29 	| reward:53.74 	| took:0.45s 	| avrege:53.26 	| loss:(actor:-10.89, critic:0.14)
episode:30 	| reward:53.74 	| took:0.45s 	| avrege:53.27 	| loss:(actor:-11.31, critic:0.12)
episode:31 	| reward:53.74 	| took:0.48s 	| avrege:53.29 	| loss:(actor:-11.06, critic:0.90)
episode:32 	| reward:53.74 	| took:0.45s 	| avrege:53.30 	| loss:(actor:-10.77, critic:1.66)
episode:33 	| reward:53.74 	| took:0.46s 	| avrege:53.31 	| loss:(actor:-11.25, critic:0.04)
episode:34 	| reward:53.74 	| took:0.48s 	| avrege:53.33 	| loss:(actor:-10.82, critic:0.65)
episode:35 	| reward:53.74 	| took:0.52s 	| avrege:53.34 	| loss:(actor:-10.91, critic:0.34)
episode:36 	| reward:53.74 	| took:0.54s 	| avrege:53.35 	| loss:(actor:-11.14, critic:0.16)
episode:37 	| reward:53.74 	| took:0.50s 	| avrege:53.36 	| loss:(actor:-11.27, critic:0.52)
episode:38 	| reward:53.74 	| took:0.45s 	| avrege:53.37 	| loss:(actor:-11.41, critic:0.10)
episode:39 	| reward:53.74 	| took:0.47s 	| avrege:53.38 	| loss:(actor:-11.40, critic:0.69)
