episode:0 	| reward:2.62 	| took:0.58s 	| avrege:2.62 	| loss:(actor:1.13, critic:0.01)
episode:1 	| reward:2.62 	| took:0.42s 	| avrege:2.62 	| loss:(actor:1.71, critic:0.08)
episode:2 	| reward:2.59 	| took:0.42s 	| avrege:2.61 	| loss:(actor:2.10, critic:0.01)
episode:3 	| reward:2.71 	| took:0.47s 	| avrege:2.64 	| loss:(actor:2.21, critic:0.09)
episode:4 	| reward:2.62 	| took:0.47s 	| avrege:2.63 	| loss:(actor:2.17, critic:0.08)
episode:5 	| reward:2.48 	| took:0.47s 	| avrege:2.61 	| loss:(actor:2.09, critic:0.07)
episode:6 	| reward:2.62 	| took:0.42s 	| avrege:2.61 	| loss:(actor:2.21, critic:0.02)
episode:7 	| reward:2.62 	| took:0.44s 	| avrege:2.61 	| loss:(actor:2.19, critic:0.04)
episode:8 	| reward:65.42 	| took:34.36s 	| avrege:9.59 	| loss:(actor:1.06, critic:0.00)
episode:9 	| reward:47.94 	| took:33.75s 	| avrege:13.42 	| loss:(actor:0.33, critic:0.02)
episode:10 	| reward:50.19 	| took:35.54s 	| avrege:16.77 	| loss:(actor:-0.03, critic:0.00)
episode:11 	| reward:21.33 	| took:38.46s 	| avrege:17.15 	| loss:(actor:-0.48, critic:0.00)
episode:12 	| reward:56.62 	| took:38.41s 	| avrege:20.18 	| loss:(actor:-0.54, critic:0.00)
episode:13 	| reward:56.68 	| took:37.87s 	| avrege:22.79 	| loss:(actor:-0.82, critic:0.01)
episode:14 	| reward:60.57 	| took:37.62s 	| avrege:25.31 	| loss:(actor:-0.94, critic:0.00)
episode:15 	| reward:37.28 	| took:37.86s 	| avrege:26.06 	| loss:(actor:-1.06, critic:0.00)
episode:16 	| reward:54.87 	| took:36.31s 	| avrege:27.75 	| loss:(actor:-1.11, critic:0.00)
episode:17 	| reward:51.67 	| took:39.36s 	| avrege:29.08 	| loss:(actor:-1.17, critic:0.00)
episode:18 	| reward:57.03 	| took:37.56s 	| avrege:30.55 	| loss:(actor:-1.23, critic:0.00)
episode:19 	| reward:36.22 	| took:37.25s 	| avrege:30.84 	| loss:(actor:-1.32, critic:0.00)
episode:20 	| reward:30.68 	| took:37.85s 	| avrege:30.83 	| loss:(actor:-1.38, critic:0.00)
episode:21 	| reward:49.87 	| took:37.92s 	| avrege:31.69 	| loss:(actor:-1.28, critic:0.00)
episode:22 	| reward:41.65 	| took:38.96s 	| avrege:32.13 	| loss:(actor:-1.43, critic:0.00)
episode:23 	| reward:29.32 	| took:39.34s 	| avrege:32.01 	| loss:(actor:-1.63, critic:0.01)
episode:24 	| reward:36.06 	| took:40.58s 	| avrege:32.17 	| loss:(actor:-1.66, critic:0.00)
episode:25 	| reward:46.75 	| took:39.64s 	| avrege:32.73 	| loss:(actor:-1.42, critic:0.00)
episode:26 	| reward:47.24 	| took:44.59s 	| avrege:33.27 	| loss:(actor:-1.41, critic:0.00)
episode:27 	| reward:54.41 	| took:40.12s 	| avrege:34.02 	| loss:(actor:-1.57, critic:0.00)
episode:28 	| reward:37.27 	| took:41.75s 	| avrege:34.14 	| loss:(actor:-1.37, critic:0.00)
episode:29 	| reward:52.98 	| took:41.36s 	| avrege:34.76 	| loss:(actor:-2.02, critic:0.00)
episode:30 	| reward:46.25 	| took:40.36s 	| avrege:35.14 	| loss:(actor:-1.63, critic:0.00)
episode:31 	| reward:48.89 	| took:42.90s 	| avrege:35.57 	| loss:(actor:-1.53, critic:0.00)
episode:32 	| reward:52.67 	| took:41.05s 	| avrege:36.08 	| loss:(actor:-1.81, critic:0.00)
episode:33 	| reward:35.54 	| took:42.98s 	| avrege:36.07 	| loss:(actor:-2.01, critic:0.02)
episode:34 	| reward:60.59 	| took:44.39s 	| avrege:36.77 	| loss:(actor:-1.50, critic:0.00)
episode:35 	| reward:36.08 	| took:41.78s 	| avrege:36.75 	| loss:(actor:-2.31, critic:0.01)
episode:36 	| reward:62.08 	| took:42.29s 	| avrege:37.43 	| loss:(actor:-1.83, critic:0.01)
episode:37 	| reward:57.54 	| took:42.48s 	| avrege:37.96 	| loss:(actor:-1.64, critic:0.01)
episode:38 	| reward:59.58 	| took:42.98s 	| avrege:38.52 	| loss:(actor:-1.79, critic:0.02)
episode:39 	| reward:63.77 	| took:42.81s 	| avrege:39.15 	| loss:(actor:-1.71, critic:0.00)
episode:40 	| reward:39.63 	| took:46.86s 	| avrege:39.16 	| loss:(actor:-1.29, critic:0.00)
episode:41 	| reward:43.50 	| took:54.00s 	| avrege:39.26 	| loss:(actor:-1.56, critic:0.00)
episode:42 	| reward:41.40 	| took:45.79s 	| avrege:39.31 	| loss:(actor:-1.59, critic:0.00)
episode:43 	| reward:18.62 	| took:46.27s 	| avrege:38.84 	| loss:(actor:-1.40, critic:0.00)
episode:44 	| reward:50.68 	| took:44.68s 	| avrege:39.11 	| loss:(actor:-1.51, critic:0.00)
episode:45 	| reward:80.86 	| took:44.87s 	| avrege:40.01 	| loss:(actor:-1.70, critic:0.00)
episode:46 	| reward:40.18 	| took:45.56s 	| avrege:40.02 	| loss:(actor:-1.39, critic:0.01)
episode:47 	| reward:48.21 	| took:45.02s 	| avrege:40.19 	| loss:(actor:-1.51, critic:0.00)
episode:48 	| reward:53.52 	| took:49.57s 	| avrege:40.46 	| loss:(actor:-1.34, critic:0.00)
episode:49 	| reward:27.80 	| took:46.51s 	| avrege:40.21 	| loss:(actor:-1.34, critic:0.00)
episode:50 	| reward:51.19 	| took:46.31s 	| avrege:40.42 	| loss:(actor:-1.23, critic:0.00)
episode:51 	| reward:73.61 	| took:47.06s 	| avrege:41.06 	| loss:(actor:-1.17, critic:0.00)
episode:52 	| reward:37.48 	| took:47.44s 	| avrege:40.99 	| loss:(actor:-1.31, critic:0.01)
episode:53 	| reward:79.50 	| took:47.71s 	| avrege:41.71 	| loss:(actor:-1.27, critic:0.01)
episode:54 	| reward:72.25 	| took:48.97s 	| avrege:42.26 	| loss:(actor:-1.55, critic:0.01)
episode:55 	| reward:21.21 	| took:49.51s 	| avrege:41.89 	| loss:(actor:-1.22, critic:0.00)
episode:56 	| reward:51.99 	| took:48.55s 	| avrege:42.06 	| loss:(actor:-1.19, critic:0.00)
