episode:0 	| reward:35.37 	| took:1.46s 	| avrege:35.37 	| loss:(actor:1.63, critic:0.59)
episode:1 	| reward:42.70 	| took:1.60s 	| avrege:39.04 	| loss:(actor:1.59, critic:0.13)
episode:2 	| reward:212.85 	| took:6.63s 	| avrege:96.98 	| loss:(actor:1.41, critic:0.02)
episode:3 	| reward:302.39 	| took:9.27s 	| avrege:148.33 	| loss:(actor:1.02, critic:0.12)
episode:4 	| reward:47.12 	| took:1.61s 	| avrege:128.09 	| loss:(actor:1.02, critic:0.06)
episode:5 	| reward:83.04 	| took:2.67s 	| avrege:120.58 	| loss:(actor:0.87, critic:0.00)
episode:6 	| reward:43.82 	| took:1.71s 	| avrege:109.61 	| loss:(actor:0.80, critic:0.09)
episode:7 	| reward:49.19 	| took:1.66s 	| avrege:102.06 	| loss:(actor:0.79, critic:0.00)
episode:8 	| reward:52.44 	| took:1.85s 	| avrege:96.55 	| loss:(actor:0.63, critic:0.04)
episode:9 	| reward:40.56 	| took:1.43s 	| avrege:90.95 	| loss:(actor:0.63, critic:0.04)
episode:10 	| reward:43.56 	| took:1.60s 	| avrege:86.64 	| loss:(actor:0.59, critic:0.00)
episode:11 	| reward:37.45 	| took:1.37s 	| avrege:82.54 	| loss:(actor:0.49, critic:0.03)
episode:12 	| reward:32.35 	| took:1.22s 	| avrege:78.68 	| loss:(actor:0.52, critic:0.00)
episode:13 	| reward:32.50 	| took:1.22s 	| avrege:75.38 	| loss:(actor:0.37, critic:0.05)
episode:14 	| reward:30.42 	| took:1.19s 	| avrege:72.39 	| loss:(actor:0.39, critic:0.00)
episode:15 	| reward:31.47 	| took:1.26s 	| avrege:69.83 	| loss:(actor:0.45, critic:0.00)
episode:16 	| reward:32.53 	| took:1.23s 	| avrege:67.64 	| loss:(actor:0.33, critic:0.01)
episode:17 	| reward:51.15 	| took:1.71s 	| avrege:66.72 	| loss:(actor:0.34, critic:0.02)
episode:18 	| reward:38.30 	| took:1.42s 	| avrege:65.22 	| loss:(actor:0.21, critic:0.00)
episode:19 	| reward:54.28 	| took:1.81s 	| avrege:64.68 	| loss:(actor:0.24, critic:0.02)
episode:20 	| reward:34.41 	| took:1.35s 	| avrege:63.23 	| loss:(actor:0.08, critic:0.00)
episode:21 	| reward:31.35 	| took:1.26s 	| avrege:61.79 	| loss:(actor:0.11, critic:0.02)
episode:22 	| reward:31.35 	| took:1.42s 	| avrege:60.46 	| loss:(actor:0.13, critic:0.01)
episode:23 	| reward:35.37 	| took:1.38s 	| avrege:59.42 	| loss:(actor:0.03, critic:0.00)
episode:24 	| reward:33.35 	| took:1.40s 	| avrege:58.37 	| loss:(actor:-0.07, critic:0.01)
episode:25 	| reward:53.27 	| took:1.93s 	| avrege:58.18 	| loss:(actor:-0.03, critic:0.01)
episode:26 	| reward:35.55 	| took:1.42s 	| avrege:57.34 	| loss:(actor:-0.08, critic:0.01)
episode:27 	| reward:33.54 	| took:1.40s 	| avrege:56.49 	| loss:(actor:-0.13, critic:0.00)
episode:28 	| reward:50.32 	| took:1.89s 	| avrege:56.28 	| loss:(actor:-0.16, critic:0.00)
episode:29 	| reward:52.28 	| took:1.88s 	| avrege:56.14 	| loss:(actor:-0.32, critic:0.01)
episode:30 	| reward:114.84 	| took:3.79s 	| avrege:58.04 	| loss:(actor:-0.29, critic:0.01)
episode:31 	| reward:36.54 	| took:1.66s 	| avrege:57.37 	| loss:(actor:-0.22, critic:0.00)
episode:32 	| reward:35.62 	| took:1.53s 	| avrege:56.71 	| loss:(actor:-0.31, critic:0.00)
episode:33 	| reward:33.37 	| took:1.44s 	| avrege:56.02 	| loss:(actor:-0.42, critic:0.00)
episode:34 	| reward:33.10 	| took:1.49s 	| avrege:55.37 	| loss:(actor:-0.42, critic:0.00)
episode:35 	| reward:39.61 	| took:1.79s 	| avrege:54.93 	| loss:(actor:-0.60, critic:0.00)
episode:36 	| reward:39.47 	| took:1.60s 	| avrege:54.51 	| loss:(actor:-0.45, critic:0.00)
episode:37 	| reward:52.32 	| took:1.98s 	| avrege:54.45 	| loss:(actor:-0.57, critic:0.00)
episode:38 	| reward:34.52 	| took:1.50s 	| avrege:53.94 	| loss:(actor:-0.49, critic:0.00)
episode:39 	| reward:28.32 	| took:1.36s 	| avrege:53.30 	| loss:(actor:-0.60, critic:0.00)
episode:40 	| reward:29.39 	| took:1.35s 	| avrege:52.72 	| loss:(actor:-0.65, critic:0.00)
episode:41 	| reward:32.56 	| took:1.37s 	| avrege:52.24 	| loss:(actor:-0.75, critic:0.00)
episode:42 	| reward:33.56 	| took:1.58s 	| avrege:51.80 	| loss:(actor:-0.74, critic:0.00)
episode:43 	| reward:33.38 	| took:1.42s 	| avrege:51.38 	| loss:(actor:-1.01, critic:0.00)
episode:44 	| reward:38.60 	| took:1.56s 	| avrege:51.10 	| loss:(actor:-0.93, critic:0.00)
episode:45 	| reward:47.87 	| took:1.85s 	| avrege:51.03 	| loss:(actor:-0.83, critic:0.00)
