episode:0 	| reward:27.61 	| took:1.25s 	| avrege:27.61 	| loss:(actor:-10.16, critic:3.53)
episode:1 	| reward:27.61 	| took:1.26s 	| avrege:27.61 	| loss:(actor:-8.97, critic:0.44)
episode:2 	| reward:27.61 	| took:1.22s 	| avrege:27.61 	| loss:(actor:-8.42, critic:0.52)
episode:3 	| reward:27.19 	| took:1.21s 	| avrege:27.51 	| loss:(actor:-8.57, critic:1.30)
episode:4 	| reward:27.61 	| took:1.43s 	| avrege:27.53 	| loss:(actor:-8.20, critic:0.35)
episode:5 	| reward:27.61 	| took:1.45s 	| avrege:27.54 	| loss:(actor:-8.68, critic:1.02)
episode:6 	| reward:26.97 	| took:1.35s 	| avrege:27.46 	| loss:(actor:-8.32, critic:0.18)
episode:7 	| reward:27.61 	| took:1.25s 	| avrege:27.48 	| loss:(actor:-8.24, critic:0.08)
episode:8 	| reward:23.10 	| took:1.14s 	| avrege:26.99 	| loss:(actor:-8.24, critic:0.97)
episode:9 	| reward:27.61 	| took:1.44s 	| avrege:27.06 	| loss:(actor:-7.91, critic:0.07)
episode:10 	| reward:27.61 	| took:1.52s 	| avrege:27.11 	| loss:(actor:-7.84, critic:0.82)
episode:11 	| reward:27.61 	| took:1.35s 	| avrege:27.15 	| loss:(actor:-7.69, critic:0.78)
episode:12 	| reward:27.61 	| took:1.54s 	| avrege:27.18 	| loss:(actor:-8.02, critic:0.84)
episode:13 	| reward:27.61 	| took:1.65s 	| avrege:27.22 	| loss:(actor:-7.70, critic:0.07)
episode:14 	| reward:27.61 	| took:1.85s 	| avrege:27.24 	| loss:(actor:-7.68, critic:0.03)
episode:15 	| reward:26.53 	| took:1.44s 	| avrege:27.20 	| loss:(actor:-7.49, critic:1.57)
episode:16 	| reward:27.61 	| took:1.29s 	| avrege:27.22 	| loss:(actor:-7.46, critic:0.88)
episode:17 	| reward:27.61 	| took:1.28s 	| avrege:27.24 	| loss:(actor:-7.50, critic:1.46)
episode:18 	| reward:27.61 	| took:1.31s 	| avrege:27.26 	| loss:(actor:-7.38, critic:1.39)
episode:19 	| reward:27.61 	| took:1.26s 	| avrege:27.28 	| loss:(actor:-7.41, critic:0.76)
episode:20 	| reward:27.61 	| took:1.29s 	| avrege:27.30 	| loss:(actor:-7.30, critic:0.10)
episode:21 	| reward:27.61 	| took:1.41s 	| avrege:27.31 	| loss:(actor:-7.39, critic:0.73)
episode:22 	| reward:27.61 	| took:1.33s 	| avrege:27.32 	| loss:(actor:-7.42, critic:0.61)
episode:23 	| reward:27.61 	| took:1.26s 	| avrege:27.34 	| loss:(actor:-7.39, critic:0.06)
episode:24 	| reward:27.61 	| took:1.25s 	| avrege:27.35 	| loss:(actor:-7.39, critic:0.05)
episode:25 	| reward:27.61 	| took:1.24s 	| avrege:27.36 	| loss:(actor:-7.15, critic:0.78)
episode:26 	| reward:27.61 	| took:1.30s 	| avrege:27.37 	| loss:(actor:-7.48, critic:0.69)
episode:27 	| reward:25.96 	| took:1.33s 	| avrege:27.32 	| loss:(actor:-7.34, critic:0.70)
episode:28 	| reward:27.61 	| took:1.31s 	| avrege:27.33 	| loss:(actor:-7.32, critic:0.04)
episode:29 	| reward:25.37 	| took:1.28s 	| avrege:27.26 	| loss:(actor:-7.57, critic:0.03)
episode:30 	| reward:27.61 	| took:1.32s 	| avrege:27.27 	| loss:(actor:-7.07, critic:0.66)
episode:31 	| reward:27.61 	| took:1.35s 	| avrege:27.28 	| loss:(actor:-7.25, critic:0.72)
episode:32 	| reward:27.61 	| took:1.34s 	| avrege:27.29 	| loss:(actor:-7.15, critic:0.67)
episode:33 	| reward:27.61 	| took:1.26s 	| avrege:27.30 	| loss:(actor:-7.27, critic:0.65)
episode:34 	| reward:27.61 	| took:1.40s 	| avrege:27.31 	| loss:(actor:-7.36, critic:0.67)
episode:35 	| reward:27.61 	| took:1.33s 	| avrege:27.32 	| loss:(actor:-7.13, critic:0.76)
episode:36 	| reward:27.61 	| took:1.32s 	| avrege:27.33 	| loss:(actor:-7.27, critic:0.09)
episode:37 	| reward:27.61 	| took:1.38s 	| avrege:27.34 	| loss:(actor:-7.27, critic:1.37)
episode:38 	| reward:27.61 	| took:1.26s 	| avrege:27.34 	| loss:(actor:-7.26, critic:0.54)
episode:39 	| reward:27.43 	| took:1.31s 	| avrege:27.35 	| loss:(actor:-7.49, critic:0.66)
episode:40 	| reward:25.91 	| took:1.30s 	| avrege:27.31 	| loss:(actor:-7.45, critic:0.63)
episode:41 	| reward:27.26 	| took:1.30s 	| avrege:27.31 	| loss:(actor:-7.60, critic:0.68)
episode:42 	| reward:26.23 	| took:1.31s 	| avrege:27.28 	| loss:(actor:-7.37, critic:0.06)
episode:43 	| reward:13.51 	| took:0.87s 	| avrege:26.97 	| loss:(actor:-7.57, critic:1.35)
episode:44 	| reward:27.16 	| took:1.29s 	| avrege:26.98 	| loss:(actor:-7.29, critic:0.13)
episode:45 	| reward:27.19 	| took:1.27s 	| avrege:26.98 	| loss:(actor:-7.38, critic:0.02)
episode:46 	| reward:27.33 	| took:1.36s 	| avrege:26.99 	| loss:(actor:-7.42, critic:0.02)
episode:47 	| reward:27.40 	| took:1.29s 	| avrege:27.00 	| loss:(actor:-7.28, critic:0.72)
episode:48 	| reward:27.37 	| took:1.26s 	| avrege:27.00 	| loss:(actor:-7.36, critic:0.03)
episode:49 	| reward:27.33 	| took:1.26s 	| avrege:27.01 	| loss:(actor:-7.50, critic:0.03)
episode:50 	| reward:27.47 	| took:1.31s 	| avrege:27.02 	| loss:(actor:-7.31, critic:1.31)
episode:51 	| reward:27.32 	| took:1.26s 	| avrege:27.03 	| loss:(actor:-7.49, critic:0.03)
episode:52 	| reward:27.46 	| took:1.24s 	| avrege:27.03 	| loss:(actor:-7.21, critic:1.29)
episode:53 	| reward:27.40 	| took:1.24s 	| avrege:27.04 	| loss:(actor:-7.24, critic:0.05)
episode:54 	| reward:27.45 	| took:1.29s 	| avrege:27.05 	| loss:(actor:-6.76, critic:0.68)
episode:55 	| reward:27.38 	| took:1.25s 	| avrege:27.05 	| loss:(actor:-7.36, critic:0.62)
episode:56 	| reward:26.59 	| took:1.29s 	| avrege:27.05 	| loss:(actor:-7.25, critic:0.69)
episode:57 	| reward:27.47 	| took:1.23s 	| avrege:27.05 	| loss:(actor:-7.23, critic:0.65)
episode:58 	| reward:27.49 	| took:1.36s 	| avrege:27.06 	| loss:(actor:-7.47, critic:0.04)
episode:59 	| reward:27.58 	| took:1.61s 	| avrege:27.07 	| loss:(actor:-7.50, critic:0.06)
episode:60 	| reward:27.58 	| took:1.30s 	| avrege:27.08 	| loss:(actor:-7.23, critic:0.08)
episode:61 	| reward:27.58 	| took:1.28s 	| avrege:27.09 	| loss:(actor:-7.47, critic:0.58)
episode:62 	| reward:27.59 	| took:1.30s 	| avrege:27.09 	| loss:(actor:-7.32, critic:0.67)
episode:63 	| reward:26.92 	| took:1.29s 	| avrege:27.09 	| loss:(actor:-7.10, critic:1.19)
episode:64 	| reward:27.57 	| took:1.27s 	| avrege:27.10 	| loss:(actor:-7.28, critic:0.05)
episode:65 	| reward:27.49 	| took:1.26s 	| avrege:27.10 	| loss:(actor:-7.43, critic:0.03)
episode:66 	| reward:27.51 	| took:1.24s 	| avrege:27.11 	| loss:(actor:-7.19, critic:1.42)
episode:67 	| reward:27.02 	| took:1.34s 	| avrege:27.11 	| loss:(actor:-7.14, critic:1.29)
episode:68 	| reward:25.22 	| took:1.22s 	| avrege:27.08 	| loss:(actor:-7.32, critic:0.08)
episode:69 	| reward:27.43 	| took:1.28s 	| avrege:27.09 	| loss:(actor:-7.55, critic:0.77)
episode:70 	| reward:26.43 	| took:1.35s 	| avrege:27.08 	| loss:(actor:-7.58, critic:0.04)
episode:71 	| reward:27.49 	| took:1.28s 	| avrege:27.08 	| loss:(actor:-7.85, critic:0.76)
episode:72 	| reward:27.56 	| took:1.29s 	| avrege:27.09 	| loss:(actor:-7.57, critic:0.04)
episode:73 	| reward:27.55 	| took:1.28s 	| avrege:27.10 	| loss:(actor:-7.18, critic:0.80)
episode:74 	| reward:27.58 	| took:1.27s 	| avrege:27.10 	| loss:(actor:-7.36, critic:0.07)
episode:75 	| reward:27.61 	| took:1.27s 	| avrege:27.11 	| loss:(actor:-7.36, critic:0.74)
episode:76 	| reward:27.60 	| took:1.55s 	| avrege:27.12 	| loss:(actor:-7.39, critic:1.48)
episode:77 	| reward:27.58 	| took:1.27s 	| avrege:27.12 	| loss:(actor:-7.65, critic:0.04)
episode:78 	| reward:27.07 	| took:1.30s 	| avrege:27.12 	| loss:(actor:-7.68, critic:0.73)
episode:79 	| reward:25.56 	| took:1.29s 	| avrege:27.10 	| loss:(actor:-7.94, critic:1.58)
episode:80 	| reward:25.06 	| took:1.26s 	| avrege:27.08 	| loss:(actor:-7.68, critic:0.12)
episode:81 	| reward:25.04 	| took:1.25s 	| avrege:27.05 	| loss:(actor:-7.81, critic:0.03)
episode:82 	| reward:24.80 	| took:1.36s 	| avrege:27.02 	| loss:(actor:-7.81, critic:0.03)
episode:83 	| reward:25.49 	| took:1.27s 	| avrege:27.01 	| loss:(actor:-7.75, critic:0.04)
episode:84 	| reward:25.86 	| took:1.29s 	| avrege:26.99 	| loss:(actor:-7.53, critic:1.41)
episode:85 	| reward:25.61 	| took:1.24s 	| avrege:26.98 	| loss:(actor:-7.61, critic:0.08)
episode:86 	| reward:26.11 	| took:1.28s 	| avrege:26.97 	| loss:(actor:-7.82, critic:0.05)
episode:87 	| reward:25.47 	| took:1.29s 	| avrege:26.95 	| loss:(actor:-7.66, critic:2.12)
episode:88 	| reward:26.06 	| took:1.26s 	| avrege:26.94 	| loss:(actor:-8.04, critic:0.93)
episode:89 	| reward:26.13 	| took:1.29s 	| avrege:26.93 	| loss:(actor:-8.07, critic:0.06)
episode:90 	| reward:25.98 	| took:1.29s 	| avrege:26.92 	| loss:(actor:-7.86, critic:0.77)
episode:91 	| reward:26.09 	| took:1.28s 	| avrege:26.91 	| loss:(actor:-7.86, critic:0.84)
episode:92 	| reward:25.85 	| took:1.32s 	| avrege:26.90 	| loss:(actor:-8.06, critic:0.03)
episode:93 	| reward:24.38 	| took:1.26s 	| avrege:26.87 	| loss:(actor:-7.96, critic:1.90)
episode:94 	| reward:26.18 	| took:1.36s 	| avrege:26.87 	| loss:(actor:-7.91, critic:1.63)
episode:95 	| reward:26.23 	| took:1.34s 	| avrege:26.86 	| loss:(actor:-7.83, critic:0.02)
episode:96 	| reward:25.84 	| took:1.31s 	| avrege:26.85 	| loss:(actor:-7.85, critic:0.82)
episode:97 	| reward:26.53 	| took:1.26s 	| avrege:26.84 	| loss:(actor:-7.92, critic:0.88)
episode:98 	| reward:26.52 	| took:1.38s 	| avrege:26.84 	| loss:(actor:-7.57, critic:0.17)
episode:99 	| reward:26.40 	| took:1.29s 	| avrege:26.84 	| loss:(actor:-7.62, critic:0.08)
episode:100 	| reward:26.07 	| took:1.36s 	| avrege:26.82 	| loss:(actor:-7.90, critic:0.05)
episode:101 	| reward:25.84 	| took:1.31s 	| avrege:26.80 	| loss:(actor:-7.86, critic:0.90)
episode:102 	| reward:25.34 	| took:1.29s 	| avrege:26.78 	| loss:(actor:-8.24, critic:2.36)
episode:103 	| reward:25.94 	| took:1.50s 	| avrege:26.77 	| loss:(actor:-7.99, critic:0.76)
episode:104 	| reward:26.02 	| took:1.49s 	| avrege:26.75 	| loss:(actor:-7.95, critic:0.05)
episode:105 	| reward:26.00 	| took:1.33s 	| avrege:26.74 	| loss:(actor:-8.28, critic:0.99)
episode:106 	| reward:25.66 	| took:1.73s 	| avrege:26.72 	| loss:(actor:-8.18, critic:0.03)
episode:107 	| reward:25.49 	| took:1.48s 	| avrege:26.70 	| loss:(actor:-8.14, critic:2.72)
episode:108 	| reward:25.44 	| took:1.34s 	| avrege:26.73 	| loss:(actor:-8.09, critic:0.95)
episode:109 	| reward:25.51 	| took:1.36s 	| avrege:26.70 	| loss:(actor:-7.90, critic:0.13)
episode:110 	| reward:25.69 	| took:1.48s 	| avrege:26.69 	| loss:(actor:-8.16, critic:1.80)
episode:111 	| reward:25.49 	| took:1.37s 	| avrege:26.66 	| loss:(actor:-8.16, critic:0.89)
episode:112 	| reward:25.44 	| took:1.31s 	| avrege:26.64 	| loss:(actor:-8.17, critic:1.77)
episode:113 	| reward:26.00 	| took:1.30s 	| avrege:26.63 	| loss:(actor:-8.14, critic:0.04)
episode:114 	| reward:26.18 	| took:1.34s 	| avrege:26.61 	| loss:(actor:-8.04, critic:0.05)
episode:115 	| reward:25.91 	| took:1.37s 	| avrege:26.61 	| loss:(actor:-8.32, critic:1.85)
episode:116 	| reward:26.01 	| took:1.30s 	| avrege:26.59 	| loss:(actor:-8.44, critic:0.87)
episode:117 	| reward:25.56 	| took:1.35s 	| avrege:26.57 	| loss:(actor:-8.28, critic:1.76)
episode:118 	| reward:25.74 	| took:1.33s 	| avrege:26.55 	| loss:(actor:-7.80, critic:0.94)
episode:119 	| reward:25.97 	| took:1.35s 	| avrege:26.53 	| loss:(actor:-8.09, critic:0.93)
episode:120 	| reward:23.98 	| took:1.38s 	| avrege:26.50 	| loss:(actor:-8.54, critic:1.03)
episode:121 	| reward:25.64 	| took:1.36s 	| avrege:26.48 	| loss:(actor:-8.39, critic:0.04)
episode:122 	| reward:26.44 	| took:1.34s 	| avrege:26.47 	| loss:(actor:-8.21, critic:0.09)
episode:123 	| reward:25.42 	| took:1.27s 	| avrege:26.44 	| loss:(actor:-8.53, critic:0.04)
episode:124 	| reward:26.06 	| took:1.27s 	| avrege:26.43 	| loss:(actor:-8.59, critic:2.84)
episode:125 	| reward:22.03 	| took:1.19s 	| avrege:26.37 	| loss:(actor:-8.04, critic:1.78)
